tableId,started,ended,time,username,score,winner,bid,building.10a,building.10b,building.11a,building.11b,building.12a,building.12b,building.13a,building.13b,building.1a,building.1b,building.2a,building.2b,building.3a,building.3b,building.4a,building.4b,building.5a,building.5b,building.6a,building.6b,building.7a,building.7b,building.8a,building.8b,building.9a,building.9b,building.A,building.B,building.C,building.D,building.E,building.F,building.G,cowboys,craftsmen,deliveries.ALBUQUERQUE,deliveries.CHICAGO,deliveries.CLEVELAND,deliveries.COLORADO_SPRINGS,deliveries.COLUMBIA,deliveries.DENVER,deliveries.DETROIT,deliveries.EL_PASO,deliveries.GREEN_BAY,deliveries.KANSAS_CITY,deliveries.MEMPHIS,deliveries.MILWAUKEE,deliveries.MINNEAPOLIS,deliveries.MONTREAL,deliveries.NEW_YORK_CITY,deliveries.PITTSBURGH,deliveries.SACRAMENTO,deliveries.SANTA_FE,deliveries.SAN_DIEGO,deliveries.SAN_FRANCISCO,deliveries.ST_LOUIS,deliveries.TOPEKA,deliveries.TORONTO,deliveries.WICHITA,engineers,handLimit,permCerts,players,rttn,score.BID,score.BUILDINGS,score.CATTLE_CARDS,score.CITIES,score.DOLLARS,score.EXTRA_STEP_POINTS,score.HAZARDS,score.JOB_MARKET_TOKEN,score.OBJECTIVE_CARDS,score.STATIONS,score.STATION_MASTERS,score.WORKERS,seat,stepLimit,stops.10a,stops.10b,stops.11a,stops.11b,stops.12a,stops.12b,stops.13a,stops.13b,stops.1a,stops.1b,stops.2a,stops.2b,stops.3a,stops.3b,stops.4a,stops.4b,stops.5a,stops.5b,stops.6a,stops.6b,stops.7a,stops.7b,stops.8a,stops.8b,stops.9a,stops.9b,stops.A,stops.B,stops.C,stops.D,stops.E,stops.F,stops.G,stops.hazard,stops.teepee,tempCertLimit,tempCerts,turns
98c143fc-0a74-4a88-ba77-9b29d6d5920d,2020-08-31T23:02:44Z,2020-09-01T00:49:24Z,106,kingnixon,53,N,4,,,,,,,,,B-1,,,C-1-1,FLOOD-RISK-2,,E-2,,,,A-1,,,,,,,,F,B,A,D,C,G,E,6,4,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,4,0,4,N,-4,11,32,-12,0,0,7,0,11,0,0,8,1,4,,,,,,,,,4,,,1,2,,2,,,,0,,,,,,,,5,4,1,1,4,3,1,0,0,4,0,29
98c143fc-0a74-4a88-ba77-9b29d6d5920d,2020-08-31T23:02:44Z,2020-09-01T00:49:24Z,106,patrickoftheisles,56,N,3,,,,,,,,,,,,A-2,C-1-2,,C-2,,,,,,,,,,,,F,B,A,D,C,G,E,1,1,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5,4,1,4,N,-3,5,3,-12,1,3,14,0,9,20,12,4,2,7,,,,,,,,,,,,2,1,,3,,,,,,,,,,,,4,4,4,5,1,1,4,0,0,6,3,29
98c143fc-0a74-4a88-ba77-9b29d6d5920d,2020-08-31T23:02:44Z,2020-09-01T00:49:24Z,106,cowbie,63,N,2,,,,,,,,,FLOOD-RISK-1,,,,ROCKFALL-RISK-2,,ROCKFALL-RISK-1,,,,,,,,,,,,F,B,A,D,C,G,E,1,1,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,4,2,4,N,-2,5,7,-6,1,3,16,0,7,7,17,8,3,7,,,,,,,,,2,,,,7,,6,,,,,,,,,,,,8,4,2,2,4,3,3,0,0,6,6,29
98c143fc-0a74-4a88-ba77-9b29d6d5920d,2020-08-31T23:02:44Z,2020-09-01T00:49:24Z,106,gwttester,74,Y,0,B-2,,,,,,,,A-3,,,,,,E-1,,,,,,DROUGHT-RISK-1,,F-2,,B-3,,F,B,A,D,C,G,E,1,6,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,5,0,4,N,0,38,10,6,5,0,2,2,3,0,0,8,4,6,5,,,,,,,,0,,,,,,2,,,,,,0,,0,,1,,5,6,0,6,4,0,0,0,0,6,0,28
0f7b23b4-68e6-4f26-8232-82324d727ed5,2021-03-17T02:18:55Z,2021-03-17T03:08:51Z,49,dannerz,30,Y,0,C-1-2,,,,,,,,,A-3,,ROCKFALL-RISK-1,,,,E-2,,,,,,,,,,,A,B,F,E,G,D,C,2,4,1,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,4,0,2,N,0,18,3,-6,4,3,4,2,1,1,0,0,2,4,4,,,,,,,,,0,,0,,,,7,,,,,,,,,,,4,7,1,2,1,1,2,0,0,6,0,23
0f7b23b4-68e6-4f26-8232-82324d727ed5,2021-03-17T02:18:55Z,2021-03-17T03:08:51Z,49,patrickoftheisles,22,N,3,,,,,,,,,,A-2,,,ROCKFALL-RISK-2,,,,,,,,,,,,,,A,B,F,E,G,D,C,1,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,4,2,2,N,-3,2,3,-12,1,3,8,0,3,4,9,4,1,4,,,,,,,,,,1,,,2,,,,,,,,,,,,,,4,3,4,3,3,2,1,0,0,4,2,24
205e4d69-157c-45d1-85a5-eb7d0ca3ccae,2021-02-20T17:52:04Z,2021-02-20T18:26:32Z,34,patrickoftheisles,63,N,4,,,,,,,,,,A-1,E-1,,C-2,,,,,,,,,,,,,,D,B,F,G,C,A,E,1,1,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5,5,2,2,N,-4,3,0,-12,0,3,12,0,9,30,18,4,1,5,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,5,3,4,3,1,4,6,0,0,6,0,30
205e4d69-157c-45d1-85a5-eb7d0ca3ccae,2021-02-20T17:52:04Z,2021-02-20T18:26:32Z,34,dannerz,70,Y,0,,,,,,,,,,B-1,FLOOD-RISK-1,,ROCKFALL-RISK-2,,,E-2,,,,,,,,,,,D,B,F,G,C,A,E,5,1,1,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,0,2,N,0,6,13,-6,6,3,12,2,17,6,7,4,2,5,,,,,,,,,,0,2,,2,,,3,,,,,,,,,,,4,4,4,2,1,3,3,0,0,4,0,29
2279e2cc-dfe1-4ba7-8caf-f786d84543c0,2021-01-28T20:08:55Z,2021-01-28T22:09:56Z,121,duke_pedro,106,Y,1,,,,,,,,,,A-3,ROCKFALL-RISK-2,,,,,,,,,,,,,,,,F,C,A,D,G,B,E,5,1,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,1,2,0,0,0,0,1,6,4,4,N,-1,2,26,30,6,3,21,0,3,6,6,4,1,7,,,,,,,,,,0,2,,,,,,,,,,,,,,,,4,2,2,3,4,7,3,0,0,6,1,35
2279e2cc-dfe1-4ba7-8caf-f786d84543c0,2021-01-28T20:08:55Z,2021-01-28T22:09:56Z,121,sturla,87,N,0,,,,,,,,,,,,,,,A-2,,,,,,,,,,,,F,C,A,D,G,B,E,6,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,4,6,0,4,N,0,3,24,14,4,3,4,2,12,2,11,8,2,5,,,,,,,,,,,,,,,0,,,,,,,,,,,,6,1,4,4,5,4,3,0,0,4,0,34
